,age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,deposit
0,59,management,married,2,0,2343,1,0,unknown,5,1042,1,100000,0,unknown,1
1,56,management,married,2,0,45,0,0,unknown,5,1467,1,100000,0,unknown,1
2,41,technician,married,2,0,1270,1,0,unknown,5,1389,1,100000,0,unknown,1
3,55,services,married,2,0,2476,1,0,unknown,5,579,1,100000,0,unknown,1
4,54,management,married,3,0,184,0,0,unknown,5,673,2,100000,0,unknown,1
5,42,management,single,3,0,0,1,1,unknown,5,562,2,100000,0,unknown,1
6,56,management,married,3,0,830,1,1,unknown,5,1201,1,100000,0,unknown,1
7,60,retired,divorced,2,0,545,1,0,unknown,5,1030,1,100000,0,unknown,1
8,37,technician,married,2,0,1,1,0,unknown,5,608,1,100000,0,unknown,1
9,28,services,single,2,0,5090,1,0,unknown,5,1297,3,100000,0,unknown,1
10,38,management,single,2,0,100,1,0,unknown,5,786,1,100000,0,unknown,1
11,30,blue-collar,married,2,0,309,1,0,unknown,5,1574,2,100000,0,unknown,1
12,29,management,married,3,0,199,1,1,unknown,5,1689,4,100000,0,unknown,1
13,46,blue-collar,single,3,0,460,1,0,unknown,5,1102,2,100000,0,unknown,1
14,31,technician,single,3,0,703,1,0,unknown,5,943,2,100000,0,unknown,1
15,35,management,divorced,3,0,3837,1,0,unknown,5,1084,1,100000,0,unknown,1
16,32,blue-collar,single,1,0,611,1,0,unknown,5,541,3,100000,0,unknown,1
17,49,services,married,2,0,-8,1,0,unknown,5,1119,1,100000,0,unknown,1
18,41,management,married,2,0,55,1,0,unknown,5,1120,2,100000,0,unknown,1
19,49,management,divorced,2,0,168,1,1,unknown,5,513,1,100000,0,unknown,1
20,28,management,divorced,2,0,785,1,0,unknown,5,442,2,100000,0,unknown,1
21,43,management,single,3,0,2067,1,0,unknown,5,756,1,100000,0,unknown,1
22,43,management,divorced,3,0,388,1,0,unknown,5,2087,2,100000,0,unknown,1
23,43,blue-collar,married,1,0,-192,1,0,unknown,5,1120,2,100000,0,unknown,1
24,37,other,single,2,0,381,1,0,unknown,5,985,2,100000,0,unknown,1
25,35,blue-collar,single,2,0,40,1,0,unknown,5,617,4,100000,0,unknown,1
26,31,technician,single,3,0,22,1,0,unknown,5,483,3,100000,0,unknown,1
27,43,blue-collar,single,2,0,3,1,0,unknown,5,929,3,100000,0,unknown,1
28,31,management,married,2,0,307,1,0,unknown,5,538,1,100000,0,unknown,1
29,28,blue-collar,single,2,0,759,1,0,unknown,5,710,1,100000,0,unknown,1
30,32,blue-collar,married,2,1,-1,1,0,unknown,5,653,1,100000,0,unknown,1
